"Region",Average Wage,"Agriculture, Forestry, Animal, Husbandry, and Fishery",Mining,Manufacturing,"Production, and Supply of Electricity,Heat, Gas,and Water",Construction,Wholesale and Retail Trades,"Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Software and Information Technology",Financial Intermediate,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,"Management of Water Conservancy, Environment and Public Facilities","Services to Households, Repair and other Services",Education,Health and Social Services,"Culture, Sports and Entertainment"
  Beijing       ,105931,60271,114034,124232,79639,78728,93562,75589,65442,186287,208248,67392,95668,124695,70823,55047,121367,107905,105909
  Tianjin       ,72966,66696,90809,75751,81092,61068,74029,77437,53104,115906,139156,62000,73728,91555,42973,49612,67696,70123,67582
  Hebei         ,51281,38690,56709,56629,58621,48970,45947,55131,42263,55648,85957,47716,49618,52692,27422,37868,49086,55045,44277
  Shanxi        ,50452,37531,69054,54895,50809,55420,45541,51807,40203,57865,75866,39841,46140,51211,33761,34873,43680,49044,36199
  Inner Mongolia,57410,56484,93909,67337,66352,58362,54452,60605,47591,59407,95985,43634,61925,59700,41476,44927,40973,62370,41053
  Liaoning      ,53333,45380,55954,57216,57405,51813,51876,54769,43589,77318,39859,40452,51206,63852,41410,39793,43199,61251,39051
  Jilin         ,51214,41637,59128,53107,46608,52815,56846,49360,45092,67828,32550,41537,44269,58742,37110,39018,51851,55884,46408
  Heilongjiang  ,47281,41566,61020,52962,46345,41604,46251,46450,39645,57598,40018,35857,50053,51272,31682,36177,40442,58886,42801
  Shanghai      ,111347,60719,,103648,105503,78737,110377,97327,69958,233366,257487,77221,95715,151504,61592,61832,117585,115435,106607
  Jiangsu       ,75088,51430,116212,82190,91903,70027,68861,72026,56832,110384,137648,59445,68754,83585,53575,53639,72553,88258,68351
  Zhejiang      ,74325,55858,83705,72552,75593,67684,77868,81616,59364,139598,150798,65709,76313,99659,55431,57737,81628,96616,64870
  Anhui         ,59498,44674,82536,64099,62059,62237,53816,61553,49600,79893,90820,46382,55905,61954,34779,46476,51329,66030,49652
  Fujian        ,67651,54909,62601,72590,63595,65705,61886,69698,52524,111298,117648,64284,64158,67241,47652,50580,53128,77549,55552
  Jiangxi       ,55201,42841,61633,59379,56318,54339,50582,57001,46124,65704,62234,54936,52227,57084,32088,47795,48907,65383,49234
  Shandong      ,61046,49616,73029,65406,71632,63703,56167,62328,48607,70363,75085,49574,57358,68248,40115,45403,54524,64410,54024
  Henan         ,48841,38384,55337,52265,52356,51896,44738,52896,40731,55206,90391,44332,47910,51748,34248,40613,45005,51966,41272
  Hubei         ,60583,49898,64785,66617,62313,60913,56801,58694,52273,82400,91759,52716,54594,66804,46267,48320,51599,73316,52743
  Hunan         ,60277,45102,67960,65933,57431,59871,53415,58263,47938,81564,84575,52949,57170,64326,51795,51411,52470,71262,54607
  Guangdong     ,80685,66331,67865,79930,80876,70782,77468,81880,56142,154699,166307,70333,79808,97020,58095,52829,66390,100227,70158
  Guangxi       ,51527,51699,58960,55691,59396,53185,48145,51552,42735,73410,75998,46359,52302,56980,46932,38695,38528,61552,43287
  Hainan        ,66059,50373,69184,63070,46874,60725,70463,71298,47274,126355,106678,60321,74571,69522,50360,47273,41791,66206,98840
  Chongqing     ,63941,39595,70487,71752,66959,61248,58192,65408,48034,92470,137434,59989,61458,72991,48559,46276,61093,84043,52515
  Sichuan       ,62105,40910,75176,67789,64031,62996,55906,57971,47994,108470,77469,51238,55682,70868,49155,48642,54692,72523,51585
  Guizhou       ,54156,37723,83715,51284,58223,53928,53538,53003,42805,108518,110202,52657,53347,61781,39193,42321,49609,58707,44512
  Yunnan        ,53944,39198,78060,54746,54905,56474,51568,52022,43540,68329,105039,54580,50555,65074,41957,46226,47205,63944,46326
  Xizang         ,70084,58409,111459,62443,115215,59197,83751,72074,63320,115710,104063,74713,76712,97251,66552,81711,66926,121380,67925
  Shaanxi       ,58022,37824,88465,64901,65336,52737,52776,68781,44606,98989,54492,51903,53102,67804,45786,42651,48996,63357,46817
  Gansu         ,51380,41836,78675,57544,55947,51295,49044,54810,43703,69405,67415,45897,52561,56273,35603,45271,40540,50015,41060
  Qinghai       ,56424,38955,79176,67651,76294,59760,55597,62252,47494,62640,106482,44966,55327,71259,49169,44328,38183,54905,46054
  Ningxia       ,61567,49749,73222,72403,89738,62756,54674,65701,45670,68994,71985,47748,56690,65899,36830,47819,43335,57311,49635
  Xinjiang      ,62220,48880,96275,61861,88030,65579,58810,69200,49482,66734,100848,53505,65767,69420,45981,47177,47824,59003,52099
