Year,Population at Year End,Male Population,Female Population,Urban Population,Rural Population,Labor Force,Employed Persons,Primary Industry,Secondary Industry,Tertiary Industry,Urban Employed Persons,Rural Employed Persons,Number of Employed Persons in Urban Non-private Units,Number of registered unemployed in urban areas,Registered urban unemployment rate (%),Employed by Private Enterprises in Rural Areas,Self-Employed in Rural Areas
2000,126743,65437,61306,45906,80837,73992,72085,36043,16219,19823,23151,48934,11612,595,3.1,1139,2934
2001,127627,65672,61955,48064,79563,73884,72797,36399,16234,20165,24123,48674,11166,681,3.6,1187,2629
2002,128453,66115,62338,50212,78241,74492,73280,36640,15682,20958,25159,48121,10985,770,4,1411,2474
2003,129227,66556,62671,52376,76851,74911,73736,36204,15927,21605,26230,47506,10970,800,4.3,1754,2260
2004,129988,66976,63012,54283,75705,75290,74264,34830,16709,22725,27293,46971,11099,827,4.2,2024,2066
2005,130756,67375,63381,56212,74544,76120,74647,33442,17766,23439,28389,46258,11404,839,4.2,2366,2123
2006,131448,67728,63720,58288,73160,76315,74978,31941,18894,24143,29630,45348,11713,847,4.1,2632,2147
2007,132129,68048,64081,60633,71496,76531,75321,30731,20186,24404,30953,44368,12024,830,4,2672,2187
2008,132802,68357,64445,62403,70399,77046,75564,29923,20553,25087,32103,43461,12193,886,4.2,2780,2167
2009,133450,68647,64803,64512,68938,77510,75828,28890,21080,25857,33322,42506,12573,921,4.3,3063,2341
2010,134091,68748,65343,66978,67113,78388,76105,27931,21842,26332,34687,41418,13052,908,4.1,3347,2540
2011,134916,69161,65755,69927,64989,78579,76196,26472,22539,27185,36003,40193,14413,922,4.1,3442,2718
2012,135922,69660,66262,72175,63747,78894,76254,25535,23226,27493,37287,38967,15236,917,4.1,3739,2986
2013,136726,70063,66663,74502,62224,79300,76301,23838,23142,29321,38527,37774,18108,926,4.1,4279,3193
2014,137646,70522,67124,76738,60908,79690,76349,22372,23057,30920,39703,36646,18278,952,4.1,4533,3575
2015,138326,70857,67469,79302,59024,80091,76320,21418,22644,32258,40916,35404,18062,966,4.1,5215,3882
2016,139232,71307,67925,81924,57308,79282,76245,20908,22295,33042,42051,34194,17888,982,4,5914,4235
2017,140011,71650,68361,84343,55668,79042,76058,20295,21762,34001,43208,32850,17644,972,3.9,6554,4878
2018,140541,71864,68677,86433,54108,78653,75782,19515,21356,34911,44292,31490,17258,974,3.8,7424,5597
2019,141008,72039,68969,88426,52582,78985,75447,18652,21234,35561,45249,30198,17162,945,3.6,8267,6000
2020,141212,72357,68855,90220,50992,78392,75064,17715,21543,35806,46271,28793,17039,1160,4.2,,
2021,141260,72311,68949,91425,49835,78024,74652,17072,21712,35868,46773,27879,17015,1040,4,,
2022,141175,72206,68969,92071,49104,76863,73351,17663,21105,34583,45931,27420,16701,1203,,,
2023,140967,72032,68935,93267,47700,77216,74041,16882,21520,35639,47032,27009,16368,1074,,,
2024,140828,71909,68919,94350,46478,,73439,,,,47345,,,,,,
