Item,"2025,02","2025,01","2024,12","2024,11","2024,10","2024,09","2024,08","2024,07","2024,06","2024,05","2024,04","2024,03","2024,02","2024,01","2023,12","2023,11","2023,10","2023,09","2023,08","2023,07","2023,06","2023,05","2023,04","2023,03","2023,02","2023,01","2022,12","2022,11","2022,10","2022,09","2022,08","2022,07","2022,06","2022,05","2022,04","2022,03","2022,02","2022,01","2021,12","2021,11","2021,10","2021,09","2021,08","2021,07","2021,06","2021,05","2021,04","2021,03","2021,02","2021,01","2020,12","2020,11","2020,10","2020,09","2020,08","2020,07","2020,06","2020,05","2020,04","2020,03","2020,02","2020,01","2019,12","2019,11","2019,10","2019,09","2019,08","2019,07","2019,06","2019,05","2019,04","2019,03","2019,02","2019,01","2018,12","2018,11","2018,10","2018,09","2018,08","2018,07","2018,06","2018,05","2018,04","2018,03","2018,02","2018,01"
Nationl Urban Survey Unemployment Rate,5.4,5.2,5.1,5,5,5.1,5.3,5.2,5,5,5,5.2,5.3,5.2,5.1,5,5,5,5.2,5.3,5.2,5.2,5.2,5.3,5.6,5.5,5.5,5.7,5.5,5.5,5.3,5.4,5.5,5.9,6.1,5.8,5.5,5.3,5.1,5,4.9,4.9,5.1,5.1,5,5,5.1,5.3,5.5,5.4,5.2,5.2,5.3,5.4,5.6,5.7,5.7,5.9,6,5.9,6.2,5.3,5.2,5.1,5.1,5.2,5.2,5.3,5.1,5,5,5.2,5.3,5.1,4.9,4.8,4.9,4.9,5,5.1,4.8,4.8,4.9,5.1,5,5
Survey Unemployment Rate for 31 Large Cities,5.2,5.1,5,5,5,5.1,5.4,5.3,4.9,4.9,5,5.1,5.1,4.9,5,5,5,5.2,5.3,5.4,5.5,5.5,5.5,5.5,5.7,5.8,6.1,6.7,6,5.8,5.4,5.6,5.8,6.9,6.7,6,5.4,5.4,5.1,5.1,5.1,5,5.3,5.2,5.2,5.2,5.2,5.3,5.5,5.4,5.1,5.2,5.3,5.5,5.7,5.8,5.8,5.9,5.8,5.7,5.7,5.2,5.2,5.1,5.1,5.2,5.2,5.2,5,5,5,5.1,5,4.8,4.7,4.7,4.7,4.7,4.9,5,4.7,4.7,4.7,4.9,4.8,4.9
National Urban Local People Survey Unemployment Rate,5.6,5.4,5.3,5.2,5.1,5.2,5.4,5.2,5,5.1,5.1,5.3,5.5,5.4,5.2,5.1,5,5.1,5.3,5.3,5.1,5.1,5.1,5.1,5.4,5.4,5.4,5.5,5.4,5.4,5.3,5.3,5.3,5.5,5.7,5.6,5.5,5.4,5.1,5.1,4.9,5,5.2,5.1,5,5.1,5.1,5.3,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Urban Migrant People Survey Unemployment Rate,5,4.7,4.6,4.6,4.8,4.8,4.9,5.1,4.8,4.7,4.9,5.1,4.8,4.7,4.7,4.7,4.9,4.9,4.8,5.2,5.3,5.4,5.4,5.6,5.9,5.6,5.7,6.2,5.7,5.6,5.3,5.5,5.8,6.6,6.9,6.3,5.6,5.1,4.9,4.8,4.8,4.8,5,5,5.1,5,5.1,5.4,5.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Urban Survey Unemployment Rate for Age 16-24,,,,,,,,,,,,,,,,,,,,,21.3,20.8,20.4,19.6,18.1,17.3,16.7,17.1,17.9,17.9,18.7,19.9,19.3,18.4,18.2,16,15.3,15.3,14.3,14.3,14.2,14.6,15.3,16.2,15.4,13.8,13.6,13.6,13.1,12.7,12.3,12.8,13.2,15,16.8,16.8,15.4,14.8,13.8,13.3,13.6,12.5,12.2,12.5,12.4,13,13.1,13.9,11.6,10.5,9.9,11.3,11,11.2,10.1,10,9.8,11.2,13.1,13.3,10,9.6,10.1,10.4,11,11.2
National Urban Survey Unemployment Rate for Age 25-59,,,,,,,,,,,,,,,,,,,,,4.1,4.1,4.2,4.3,4.8,4.7,4.8,5,4.7,4.7,4.3,4.3,4.5,5.1,5.3,5.2,4.8,4.6,4.4,4.3,4.2,4.2,4.3,4.2,4.2,4.4,4.6,4.8,5,4.9,4.7,4.7,4.8,4.8,4.8,5,5.2,5.4,5.5,5.4,5.6,4.7,4.7,4.6,4.6,4.6,4.5,4.6,4.6,4.5,4.7,4.8,4.9,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.4,4.4,4.4,4.6,4.5,4.4
National Urban Survey Unemployment Rate for Age 16-24 Excluding Students,16.9,16.1,15.7,16.1,17.1,17.6,18.8,17.1,13.2,14.2,14.7,15.3,15.3,14.6,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Urban Survey Unemployment Rate for Age 25-29 Excluding Students,7.3,6.9,6.6,6.7,6.8,6.7,6.9,6.5,6.4,6.6,7.1,7.2,6.4,6.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Urban Survey Unemployment Rate for Age 30-59 Excluding Students,4.3,4,3.9,3.8,3.8,3.9,3.9,3.9,4,4,4,4.1,4.2,4.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
